"cc_num","merchant","category","amount","first_name","last_name","gender","street","city","state","zip","lat","long","city_pop","job","dob","trans_num","merch_lat","merch_long","is_fraud_from_api","is_fraud","cur_time"
3587044315915002,fraud_Graham and Sons,health_fitness,75.69,Christian,Roman,M,"495 Fisher Throughway",Grand Junction,TN,"38039",35.065900,-89.153400,1804,Clothing/textile technologist,1974-10-15,"8c2608e46c3e990bd2b5c16a221c8ebc",35.945228,-89.114217,false,,1742317306832
3543591270174051,fraud_Kutch-Hegmann,grocery_net,64.62,Margaret,Lam,F,"6911 Nicholas Keys Apt. 237",Armagh,PA,"15920",40.460300,-79.009700,922,Early years teacher,1972-10-04,"8c15843666cec579aa651c4e5d36afe5",41.077469,-79.122389,false,,1742317373160
2512312531485080,fraud_Schmeler Inc,misc_pos,4.00,John,Mccormick,M,"79414 Clark Lakes Suite 966",Warren,MI,"48088",42.516400,-82.983200,134056,"Producer, radio",1956-10-08,"889755a57c9a683f474f5ebdd32577d7",42.341869,-82.540180,false,,1742317439853
372509258176510,fraud_Bins-Tillman,entertainment,177.25,Kristen,Hanson,F,"26544 Andrea Glen",Goodrich,MI,"48438",42.914700,-83.484500,6951,Learning disability nurse,1985-06-18,"63d893e59bf9e4db0011a71b3454e5b4",43.380697,-84.446064,false,,1742317506015
4642894980163,"fraud_Schaefer, Maggio and Daugherty",gas_transport,62.21,Eddie,Mendez,M,"1831 Faith View Suite 653",Clarinda,IA,"51632",40.749100,-95.038000,7297,IT trainer,1990-07-13,"9d2f8bcdcbb08e2ada672f3aa54a90d3",40.926376,-94.949716,false,,1742317572172
372520049757633,fraud_Volkman PLC,food_dining,7.27,Lori,Ramirez,F,"4293 Ramirez Squares",Ranier,MN,"56668",48.603100,-93.297700,136,Ceramics designer,2000-02-20,c9248c6eb607dbfdb6b239d1e6b99333,48.547231,-93.377367,false,,1742317640667
503874407318,fraud_Huels-Nolan,gas_transport,69.81,Andrew,Mcgee,M,"4130 Tiffany Glen Apt. 562",San Antonio,TX,"78248",29.589400,-98.520100,1595797,Exhibition designer,1975-12-28,"3ad19d84ef966fbb7ff04c75f7b48eb2",30.239336,-98.902418,false,,1742317707130
2242542703101233,fraud_Brown-Greenholt,entertainment,115.85,Samuel,Jenkins,M,"43235 Mckenzie Views Apt. 837",Westport,KY,"40077",38.492100,-85.452400,564,Pensions consultant,1996-04-10,"6d3559f7d6a5686b4bc98af81894dcf6",38.002512,-84.836117,false,,1742317773559
375534208663984,fraud_Thiel-Thiel,entertainment,77.43,Tyler,Garcia,M,"408 Bradley Rest",Doe Hill,VA,"24433",38.420700,-79.462900,99,Dance movement psychotherapist,1986-03-28,"93dc39a72a18c622b12786bd334cc0c2",38.305775,-80.003153,false,,1742317839834
4364010865167176,"fraud_Koss, McLaughlin and Mayer",food_dining,1.17,Gary,Martinez,M,"03512 Jackson Ports",Reno,NV,"89512",39.548300,-119.795700,276896,Immunologist,1997-03-12,"43f35261c1804d6600604af0837fa411",38.603154,-119.185838,false,,1742317905901
36913587729122,"fraud_Heathcote, Yost and Kertzmann",shopping_net,4.29,Ana,Mccormick,F,"4503 Patricia Route",Meridian,ID,"83646",43.649800,-116.430600,84106,Intelligence analyst,1971-02-11,b7c9922bd604749877f719b425555854,43.333189,-117.416045,false,,1742317972038
4060579726528237,fraud_Deckow-Dare,food_dining,89.28,Steven,Sanders,M,"25955 Amy Via",Ozawkie,KS,"66070",39.213600,-95.440400,2661,Theatre director,1948-11-14,ee99c8fc53c25cdd5919c92362ab92c9,39.195492,-94.666449,false,,1742318038945
4265776278887457,"fraud_Mosciski, Ziemann and Farrell",shopping_net,2.14,Christine,Best,F,"68248 Deanna Land",Enola,AR,"72047",35.208700,-92.212300,969,"Physicist, medical",1954-01-05,"1b2de16f68d1846e1a2b3cb4f57440e4",34.638072,-93.056090,false,,1742318105949
30266994494236,fraud_Heller-Langosh,gas_transport,74.57,Sarah,Foster,F,"77872 Andrea Glen Apt. 543",Ford,VA,"23850",37.134900,-77.736400,1051,Chief Operating Officer,1976-11-21,"3b5ca8c55308d5ef3d8cd55ca6f9bfea",36.529686,-77.965522,false,,1742318172687
3564182536169293,"fraud_Lockman, West and Runte",grocery_pos,159.45,Brenda,Johnson,F,"56160 Nicholas Isle",Norwich,OH,"43767",39.993400,-81.802400,1443,Research scientist (medical),1962-03-04,"05322d8a301cd45675f63835649c65d9",39.360408,-82.031519,false,,1742318239047
30082025922891,fraud_Hackett Group,travel,6.01,Kathleen,Thompson,F,"199 Patterson Fords Apt. 132",Naples,FL,"34112",26.118400,-81.736100,276002,"Pilot, airline",1934-06-23,"4a9b713805a5dfb0c91394f59ec4e207",25.936654,-81.924682,false,,1742318306649
4476840372112,fraud_Ortiz Group,grocery_net,62.28,Steven,Walters,M,"3206 Hall Divide Suite 282",Woodville,AL,"35776",34.668900,-86.229600,3395,"Editor, commissioning",1979-01-21,e5122edf3d39bb83de6e570aa9461f21,34.867732,-85.465295,false,,1742318373394
4874017206859125,fraud_Dietrich-Fadel,health_fitness,21.82,Lauren,Williams,F,"065 Jones Stravenue",Lake Oswego,OR,"97034",45.409300,-122.684700,42817,Planning and development surveyor,1982-05-28,"88978e4f9aedca112a6eb913dfbcaa87",45.526814,-122.473574,false,,1742318439817
30290551782700,"fraud_Wuckert, Wintheiser and Friesen",home,35.45,John,Clarke,M,"27909 Peter Motorway",Cadiz,KY,"42211",36.802000,-87.828600,13422,Commissioning editor,1961-09-03,e29e878b47000630362be0d53479f185,36.735399,-88.724759,false,,1742318506042
581293083266,fraud_Dibbert-Green,entertainment,61.93,William,Thomas,M,"39227 Mcpherson Shoals",Lahoma,OK,"73754",36.385000,-98.072700,1078,Podiatrist,1989-10-06,"7a8fcff003e8e4b2fd47ac557584b1ae",35.599890,-97.796309,false,,1742318573415
4900628639996,"fraud_Okuneva, Schneider and Rau",shopping_pos,11.04,Michael,Johnson,M,"094 Owens Underpass",Norwalk,CA,"90650",33.905600,-118.081800,105549,Firefighter,1973-09-22,a9e6362219c102245b8f9cad97a2b496,34.658451,-117.650761,false,,1742318639750
374930071163758,fraud_Schuppe-Schuppe,food_dining,7.24,Daniel,Escobar,M,"61390 Hayes Port",Romulus,MI,"48174",42.220300,-83.358300,31515,Police officer,1971-11-05,"66a04ff80c0255f37359e7ffaf33e267",42.550356,-83.484376,false,,1742318706389
345933964507467,"fraud_Quitzon, Green and Bashirian",shopping_pos,2.37,Carol,Dillon,F,"27479 Reeves Dale",Whaleyville,MD,"21872",38.412100,-75.281100,718,Regulatory affairs officer,1985-03-19,"72c42c076c4e040ee656267739e3535c",37.754309,-74.812511,false,,1742318773335
213199865312311,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,14.60,Christopher,Miller,M,"493 Fitzgerald Fields Suite 454",Varnell,GA,"30756",34.929800,-84.988500,74,Pensions consultant,1944-05-14,"5df0fce285a8319f2f917c214f51e3f4",34.961383,-84.569569,false,,1742318839847
3500969075198072,fraud_Goodwin-Nitzsche,grocery_pos,44.86,Kenneth,Sanchez,M,"0110 Ashley Forest",Tekoa,WA,"99033",47.227100,-117.081900,895,Clothing/textile technologist,1999-05-31,"412fb79c5b7780baffabcd6622de23ed",46.248411,-118.007972,false,,1742318907783
4181833256558613886,"fraud_Roberts, Daniel and Macejkovic",kids_pets,101.52,Jessica,Potter,F,"7600 Stephen Course Suite 031",Red River,NM,"87558",36.665900,-105.469400,606,"Surveyor, land/geomatics",1988-09-06,"8812642f3f3b3adc5ede017e5de1dfc9",36.425879,-106.082870,false,,1742318974339
4178097073221156,fraud_Deckow-Dare,food_dining,75.06,Jill,Flores,F,"639 Cruz Islands",Baroda,MI,"49101",41.948800,-86.491300,3104,"Horticulturist, commercial",1981-03-29,"2e56091e805204ca6f83406d4f42458c",41.474823,-86.118874,false,,1742319040418
377026671291680,fraud_Kuhic LLC,shopping_net,5.86,Jackie,Davis,F,"1898 Parker Fork Apt. 057",Redford,MO,"63665",37.327200,-91.024300,241,Investment analyst,1974-10-27,"4ee48dccfdf3f699c63eef9c069ee3c2",37.529178,-90.904394,false,,1742319106738
639023984367,"fraud_Moore, Williamson and Emmerich",home,45.57,Destiny,Lowe,F,"79472 Stevens Trace Apt. 120",Hannawa Falls,NY,"13647",44.608700,-74.973200,69,Chief Executive Officer,1991-06-05,"36bb0cde6d73c6d0e71835b14e6775a1",43.667081,-75.232838,false,,1742319172884
2222001896600109,fraud_Graham and Sons,health_fitness,137.48,Susan,Hernandez,F,"2193 Osborne Run Apt. 789",Moro,IL,"62067",38.931800,-89.961800,2401,"Buyer, industrial",1972-01-03,"57a78b8516f677d38db1706e24b6eb89",39.378332,-89.686733,false,,1742319239466
180067151859700,fraud_Schiller Ltd,personal_care,7.13,Karen,Ryan,F,"82468 Michelle Village Suite 556",Joliet,IL,"60432",41.537800,-88.057200,128354,"Teacher, secondary school",1992-01-20,a5395794beebd3e5d114e6d414647873,42.417356,-87.583589,false,,1742319305645
3553629419254918,fraud_Pfeffer and Sons,shopping_pos,6.91,Sharon,Johnson,F,"7202 Jeffrey Mills",Conway,WA,"98238",48.340000,-122.345600,85,"Research officer, political party",1984-09-01,"4af499436c7e25e7b22b6ebb066dde5e",48.706382,-121.367945,false,,1742319372245
180072527505094,fraud_Gerhold LLC,home,49.63,Cody,Miller,M,"25748 John Wells",Mooresville,NC,"28117",35.584000,-80.868500,69793,Control and instrumentation engineer,1953-12-08,"8bc873e19490dda45ef07d59b82f47d1",35.124511,-81.505434,false,,1742319438584
30230540139182,fraud_Stoltenberg-Beatty,shopping_pos,133.13,Hayden,Sanders,M,"8465 Reed Green Suite 559",Montandon,PA,"17850",40.966100,-76.857500,645,Orthoptist,1974-05-18,f7d3cdf2cd6f913801afa7435a57aa2d,41.917918,-77.194498,false,,1742319505765
3551512895305309,fraud_Huels-Hahn,gas_transport,74.15,Erika,Anderson,F,"3786 Hale Corners",Rochester,KY,"42273",37.204800,-86.859200,443,"Development worker, international aid",1947-07-15,"84e5fc12fc58999445da36e6a5ca12c3",36.933016,-86.637801,false,,1742319572200
